정시 일반 나군	NNG
정시 일반 다	NNG
정시 일반 다군	NNG
일반 가	NNG
일반 가군	NNG
일반 나	NNG
일반 나군	NNG
일반 다	NNG
일반 다군	NNG
정시 학생부위주	NNG
정시 학생부	NNG
정시 학생	NNG
학생부위주	NNG
학생부	NNG
학생	NNG
정시 농어촌학생	NNG
정시 농어촌	NNG
정시 특성화고교졸업자	NNG
정시 특성화	NNG
정시 기초생활수급자 및 차상위계층	NNG
정시 기초생활수급자	NNG
정시 기초생활	NNG
정시 기초	NNG
정시 특수교육대상자	NNG
정시 특수교육	NNG
특수교육대상자	NNG
특수교육	NNG
정시 수능시험 점수	NNG
정시 반영	NNG
정시 점수 반영	NNG
정시 점수	NNG
정시 수능점수	NNG
정시 수능 점수	NNG
정시 수능점수반영	NNG
정시 수능 점수 반영	NNG
정시 수능시험 반영 방법 및 점수	NNG
수능시험 점수	NNG
반영	NNG
점수 반영	NNG
점수	NNG
수능점수	NNG
수능 점수	NNG
수능점수반영	NNG
수능 점수 반영	NNG
수능시험 반영 방법 및 점수	NNG
정시 등급컷	NNG
정시 전년도 등급컷	NNG
정시 전년도등급컷	NNG
정시 작년도 등급컷	NNG
정시 작년도등급컷	NNG
정시 지원자격	NNG
정시 지원방법	NNG
정시 전형방법	NNG
정시 합격자 안내	NNG
정시 합격자발표	NNG
정시 합격자 발표	NNG
정시 최종 합격자 조회	NNG
정시 최종 합격자	NNG
정시 고지서	NNG
정시 장학제도 안내	NNG
정시 장학제도안내	NNG
정시 장학제도	NNG
정시 장학금 안내	NNG
정시 장학금	NNG
전공별 교육과정	NNG
전공별 교육 과정	NNG
학교생활 안내	NNG
출석 성적 반영 방법	NNG
출석 성적 반영 비율	NNG
출석 성적 반영법	NNG
솔브릿지학과	NNG
AI학과	NNG
빅데이터학과	NNG
AI빅데이터학과	NNG
호텔매니지먼트	NNG
호텔매니지먼트학과	NNG
호텔학과	NNG
글로벌융합비즈니스학과	NNG
글로벌융합비즈니스	NNG
융합비즈니스학과	NNG
융합비즈니스	NNG
융합 경영	NNG
융합 경영학과	NNG
융합 세무 경영	NNG
융합 세무 경영학과	NNG
자율융합	NNG
자율융합학과	NNG
글로벌 철도	NNG
글로벌 철도학과	NNG
철도 건설	NNG
철도 건설학과	NNG
철도 경영	NNG
철도 경영학과	NNG
물류	NNG
물류시스템	NNG
물류시스템학과	NNG
철도 전기	NNG
철도 전기학과	NNG
철도 전기시스템	NNG
철도 전기시스템학과	NNG
철도 소프트웨어	NNG
철도 소프트웨어학과	NNG
철도 차량	NNG
철도 차량 학과	NNG
철도 차량 시스템	NNG
철도 차량 시스템 학과	NNG
건축공학과	NNG
글로벌 미디어	NNG
글로벌 미디어학과	NNG
글로벌 미디어영상	NNG
글로벌 미디어영상학과	NNG
게임멀티	NNG
겜멀	NNG
게임멀티미디어학과	NNG
미디어디자인	NNG
미디어디자인학과	NNG
미디어디자인영상	NNG
미디어디자인 영상학과	NNG
컴정	NNG
컴퓨터 정보보안 학과	NNG
IT	NNG
IT 학과	NNG
IT보안	NNG
IT보안 학과	NNG
글로벌조리	NNG
글로벌조리학과	NNG
폴보퀴즈조리	NNG
폴보퀴즈조리학과	NNG
폴보	NNG
글로벌외식	NNG
글로벌외식학과	NNG
글로벌외식창업	NNG
글로벌외식창업학과	NNG
글로벌외식창업전공	NNG
외식조리	NNG
외식조리학과	NNG
외조	NNG
한식	NNG
한식조리	NNG
한식조리학과	NNG
한식조리과학	NNG
한식조리과학학과	NNG
외식조리경영	NNG
외식조리경영학과	NNG
외식조리영양	NNG
외식조리영양학과	NNG
호텔경영	NNG
호텔경영학과	NNG
호텔관광	NNG
호텔관광학과	NNG
호텔관광경영	NNG
호텔관광경영학과	NNG
사복	NNG
사회복지	NNG
사복학과	NNG
사회복지학과	NNG
작업치료학과	NNG
언어치료	NNG
언어치료학과	NNG
청각	NNG
언어치료청각재활학과	NNG
청각재활	NNG
청각재활학과	NNG
보건경영	NNG
보건경영학과	NNG
보건의료	NNG
보건의료학과	NNG
보건의료경영	NNG
보건의료경영학과	NNG
유아교육과	NNG
유아교육학과	NNG
뷰티	NNG
뷰티디자인	NNG
뷰티학과	NNG
뷰티디자인학과	NNG
응급구조	NNG
응급구조학과	NNG
소방안전	NNG
소방안전학과	NNG
소방	NNG
소방학과	NNG
간호학과	NNG
간호	NNG
물리치료	NNG
물리치료학과	NNG
스포츠	NNG
스포츠학과	NNG
스포츠건강	NNG
스포츠건강학과	NNG
스포츠건강재활	NNG
스포츠건강재활학과	NNG
JCFS 인공지능	NNG
JCFS 인공지능학과	NNG
JCFS 데이터과학	NNG
JCFS 데이터과학학과	NNG
JCFS 인지과학	NNG
JCFS 인지과학 학과	NNG
장학금	NNG
장학제도	NNG
캠퍼스	NNG
학교	NNG
지도	NNG
캠퍼스 맵	NNG
캠퍼스맵	NNG
학교맵	NNG
우송대 위치	NNG
기숙사	NNG
긱사	NNG
연락처	NNG
번호	NNG
부서	NNG
교무처 연락처	NNG
부서별 연락처	NNG
부서별연락처	NNG
입학	NNG
입학처	NNG
편의시설	NNG
편의	NNG
시설	NNG
농어촌학생	NNG
농어촌	NNG
특성화고교졸업자	NNG
특성화	NNG
기초생활수급자	NNG
기초생활	NNG
기초	NNG
차상위	NNG
전년도 등급컷	NNG
전년도등급컷	NNG
등급컷	NNG
전형방법	NNG
지원방법	NNG
전형	NNG
지원	NNG
합격자 발표	NNG
합격자발표	NNG
최종 합격자 조회	NNG
최종	NNG
최종 합격자	NNG
고지서	NNG
일반	NNG
일반전형	NNG
